id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10293110,"83,792.19500015",2025-04-13 10:28:59.636596,Bitcoin,83792.195000148700000000,BTC
10293071,"83,771.99000007",2025-04-13 10:28:39.639422,Bitcoin,83771.990000072400000000,BTC
10293012,"83,784.47500027",2025-04-13 10:28:34.645357,Bitcoin,83784.475000267900000000,BTC
10292964,"83,782.61499993",2025-04-13 10:28:19.651988,Bitcoin,83782.614999933000000000,BTC
10292874,"83,781.51499981",2025-04-13 10:28:04.654603,Bitcoin,83781.514999808500000000,BTC
10292816,"83,831.50499987",2025-04-13 10:27:49.693959,Bitcoin,83831.504999869600000000,BTC
10292759,"83,835.03000006",2025-04-13 10:27:34.672276,Bitcoin,83835.030000056100000000,BTC
10292708,"83,844.77499995",2025-04-13 10:27:19.666898,Bitcoin,83844.774999951000000000,BTC
10292645,"83,822.35499976",2025-04-13 10:27:14.684874,Bitcoin,83822.354999763000000000,BTC
10292564,"83,782.74499966",2025-04-13 10:26:49.658431,Bitcoin,83782.744999661000000000,BTC
10292497,"83,790.22499969",2025-04-13 10:26:39.662222,Bitcoin,83790.224999691800000000,BTC
10292445,"83,829.32499981",2025-04-13 10:26:19.726775,Bitcoin,83829.324999808000000000,BTC
10292343,"83,829.99000024",2025-04-13 10:25:59.684108,Bitcoin,83829.990000242300000000,BTC
10292278,"83,773.76499976",2025-04-13 10:25:44.657295,Bitcoin,83773.764999762700000000,BTC
10292210,"83,769.23499997",2025-04-13 10:25:29.633389,Bitcoin,83769.234999971500000000,BTC
10292154,"83,751.73499981",2025-04-13 10:25:09.656855,Bitcoin,83751.734999811600000000,BTC
10292050,"83,756.51500012",2025-04-13 10:24:59.660490,Bitcoin,83756.515000121400000000,BTC
10291972,"83,773.24999993",2025-04-13 10:24:44.659726,Bitcoin,83773.249999933100000000,BTC
10291905,"83,806.71500011",2025-04-13 10:24:29.662548,Bitcoin,83806.715000109700000000,BTC
10291840,"83,821.72999978",2025-04-13 10:24:09.702082,Bitcoin,83821.729999777600000000,BTC
