Date,Price,Open,High,Low,Vol.,Change %
2016-04-05,17603.32,17718.03,17718.03,17579.56,115.23,-0.75
2016-04-06,17716.05,17605.45,17723.55,17542.54,99.41,0.64
2016-04-07,17541.96,17687.28,17687.28,17484.23,90.12,-0.98
2016-04-08,17576.96,17555.39,17694.51,17528.16,79.99,0.2
2016-04-11,17556.41,17586.48,17731.63,17555.9,107.1,-0.12
2016-04-12,17721.25,17571.34,17744.43,17553.57,81.02,0.94
2016-04-13,17908.28,17741.66,17918.35,17741.66,91.71,1.06
2016-04-14,17926.43,17912.25,17962.14,17885.44,84.51,0.1
2016-04-15,17897.46,17925.95,17937.65,17867.41,118.16,-0.16
2016-04-18,18004.16,17890.2,18009.53,17848.22,89.39,0.6
2016-04-19,18053.6,18012.1,18103.46,17984.43,89.82,0.27
2016-04-20,18096.27,18059.49,18167.63,18031.21,100.21,0.24
2016-04-21,17982.52,18092.84,18107.29,17963.89,102.72,-0.63
2016-04-22,18003.75,17985.05,18026.85,17909.89,134.12,0.12
2016-04-25,17977.24,17990.94,17990.94,17855.55,83.77,-0.15
2016-04-26,17990.32,17987.38,18043.77,17934.17,92.57,0.07
2016-04-27,18041.55,17996.14,18084.66,17920.26,109.09,0.28
2016-04-28,17830.76,18023.88,18035.73,17796.55,100.92,-1.17
2016-04-29,17773.64,17813.09,17814.83,17651.98,136.67,-0.32
2016-05-02,17891.16,17783.78,17912.35,17773.71,80.1,0.66
2016-05-03,17750.91,17870.75,17870.75,17670.88,97.07,-0.78
2016-05-04,17651.26,17735.02,17738.06,17609.01,95.02,-0.56
2016-05-05,17660.71,17664.48,17736.11,17615.82,81.53,0.05
2016-05-06,17740.63,17650.3,17744.54,17580.38,80.02,0.45
2016-05-09,17705.91,17743.85,17783.16,17668.38,85.59,-0.2
2016-05-10,17928.35,17726.66,17934.61,17726.66,75.79,1.26
2016-05-11,17711.12,17919.03,17919.03,17711.05,87.39,-1.21
2016-05-12,17720.5,17722.01,17798.19,17625.38,88.57,0.05
2016-05-13,17535.32,17711.12,17734.74,17512.48,86.65,-1.05
2016-05-16,17710.71,17531.76,17755.8,17531.76,88.44,1.0
2016-05-17,17529.98,17701.46,17701.46,17469.92,103.26,-1.02
2016-05-18,17526.62,17501.28,17636.22,17418.21,79.12,-0.02
2016-05-19,17435.4,17514.16,17514.16,17331.07,95.53,-0.52
2016-05-20,17500.94,17437.32,17571.75,17437.32,112.0,0.38
2016-05-23,17492.93,17507.04,17550.7,17480.05,87.79,-0.05
2016-05-24,17706.05,17525.19,17742.59,17525.19,86.48,1.22
2016-05-25,17851.51,17735.09,17891.71,17735.09,79.18,0.82
2016-05-26,17828.29,17859.52,17888.66,17803.82,68.94,-0.13
2016-05-27,17873.22,17826.85,17873.22,17824.73,73.19,0.25
2016-05-31,17787.2,17891.5,17899.24,17724.03,147.39,-0.48
2016-06-01,17789.67,17754.55,17809.18,17664.79,78.53,0.01
2016-06-02,17838.56,17789.05,17838.56,17703.55,75.56,0.27
2016-06-03,17807.06,17799.8,17833.17,17689.68,82.28,-0.18
2016-06-06,17920.33,17825.69,17949.68,17822.81,71.87,0.64
2016-06-07,17938.28,17936.22,18003.23,17936.22,78.75,0.1
2016-06-08,18005.05,17931.91,18016.0,17931.91,71.26,0.37
2016-06-09,17985.19,17969.98,18005.22,17915.88,69.69,-0.11
2016-06-10,17865.34,17938.82,17938.82,17812.34,90.54,-0.67
2016-06-13,17732.48,17830.5,17893.28,17731.35,101.69,-0.74
2016-06-14,17674.82,17710.77,17733.92,17595.79,93.74,-0.33
2016-06-15,17640.17,17703.65,17762.96,17629.01,94.13,-0.2
2016-06-16,17733.1,17602.23,17754.91,17471.29,91.95,0.53
2016-06-17,17675.16,17733.44,17733.44,17602.78,248.68,-0.33
2016-06-20,17804.87,17736.87,17946.36,17736.87,99.38,0.73
2016-06-21,17829.73,17827.33,17877.84,17799.8,85.14,0.14
2016-06-22,17780.83,17832.67,17920.16,17770.36,89.44,-0.27
2016-06-23,18011.07,17844.11,18011.07,17844.11,98.11,1.29
2016-06-24,17400.75,17946.63,17946.63,17356.34,239.0,-3.39
2016-06-27,17140.24,17355.21,17355.21,17063.08,138.74,-1.5
2016-06-28,17409.72,17190.51,17409.72,17190.51,112.19,1.57
2016-06-29,17694.68,17456.02,17704.51,17456.02,106.38,1.64
2016-06-30,17929.99,17712.76,17930.61,17711.8,133.03,1.33
2016-07-01,17949.37,17924.24,18002.38,17916.91,82.16,0.11
2016-07-05,17840.62,17904.45,17904.45,17785.28,103.67,-0.61
2016-07-06,17918.62,17807.47,17926.91,17713.45,93.0,0.44
2016-07-07,17895.88,17924.24,17984.95,17816.65,81.58,-0.13
2016-07-08,18146.74,17971.22,18166.77,17971.22,93.46,1.4
2016-07-11,18226.93,18161.53,18283.9,18161.53,80.88,0.44
2016-07-12,18347.67,18259.12,18371.95,18259.12,90.21,0.66
2016-07-13,18372.12,18356.78,18390.16,18315.76,80.92,0.13
2016-07-14,18506.41,18414.3,18537.57,18414.3,87.05,0.73
2016-07-15,18516.55,18508.88,18557.43,18471.62,123.69,0.05
2016-07-18,18533.05,18521.55,18556.13,18489.84,75.54,0.09
2016-07-19,18559.01,18503.12,18562.53,18495.11,85.84,0.14
2016-07-20,18595.03,18582.7,18622.01,18555.65,93.23,0.19
2016-07-21,18517.23,18589.96,18590.44,18469.67,86.8,-0.42
2016-07-22,18570.85,18524.15,18571.3,18491.59,87.71,0.29
2016-07-25,18493.06,18554.49,18555.69,18452.62,76.81,-0.42
2016-07-26,18473.75,18497.37,18522.47,18387.22,85.37,-0.1
2016-07-27,18472.17,18473.27,18542.39,18430.94,111.37,-0.01
2016-07-28,18456.35,18461.01,18483.26,18368.82,85.75,-0.09
2016-07-29,18432.24,18442.52,18466.55,18371.12,111.55,-0.13
2016-08-01,18404.51,18434.5,18467.03,18355.75,83.47,-0.15
2016-08-02,18313.77,18401.15,18403.65,18247.79,89.68,-0.49
2016-08-03,18355.0,18313.08,18355.0,18283.23,78.55,0.23
2016-08-04,18352.05,18351.43,18397.87,18325.17,64.5,-0.02
2016-08-05,18543.53,18402.8,18543.53,18402.8,92.42,1.04
2016-08-08,18529.29,18540.65,18569.31,18502.03,71.81,-0.08
2016-08-09,18533.05,18538.05,18585.32,18507.75,60.09,0.02
2016-08-10,18495.66,18541.48,18561.75,18468.78,62.78,-0.2
2016-08-11,18613.52,18519.08,18638.34,18519.08,71.47,0.64
2016-08-12,18576.47,18595.65,18606.06,18535.86,61.58,-0.2
2016-08-15,18636.05,18588.59,18668.44,18588.59,62.35,0.32
2016-08-16,18552.02,18614.48,18614.86,18550.65,67.57,-0.45
2016-08-17,18573.94,18537.09,18582.35,18468.68,71.0,0.12
2016-08-18,18597.7,18566.54,18600.82,18533.29,70.74,0.13
2016-08-19,18552.57,18585.17,18585.17,18491.24,93.17,-0.24
2016-08-22,18529.42,18535.86,18570.92,18466.86,73.45,-0.12
2016-08-23,18547.3,18568.94,18631.6,18545.52,73.99,0.1
2016-08-24,18481.48,18537.5,18539.15,18448.27,72.27,-0.35
2016-08-25,18448.41,18471.21,18497.68,18431.46,64.48,-0.18
2016-08-26,18395.4,18467.92,18572.09,18335.34,78.73,-0.29
2016-08-29,18502.99,18421.29,18523.09,18419.92,64.48,0.58
2016-08-30,18454.3,18491.28,18514.29,18408.52,68.92,-0.26
2016-08-31,18400.88,18436.7,18439.68,18333.56,98.25,-0.29
2016-09-01,18419.3,18396.57,18430.05,18295.48,74.78,0.1
2016-09-02,18491.96,18466.01,18544.76,18439.1,74.35,0.39
2016-09-06,18538.12,18493.4,18551.54,18450.32,83.71,0.25
2016-09-07,18526.14,18527.71,18536.89,18474.77,67.57,-0.06
2016-09-08,18479.91,18486.69,18506.24,18446.69,79.06,-0.25
2016-09-09,18085.45,18404.17,18404.17,18085.45,120.67,-2.13
2016-09-12,18325.07,18028.95,18358.69,17994.84,103.26,1.32
2016-09-13,18066.75,18262.99,18262.99,18028.06,102.83,-1.41
2016-09-14,18034.77,18073.39,18163.48,17992.21,103.36,-0.18
2016-09-15,18212.48,18024.91,18250.11,18015.49,99.56,0.99
2016-09-16,18123.8,18217.21,18217.21,18070.21,278.54,-0.49
2016-09-19,18120.17,18154.82,18254.88,18093.05,78.09,-0.02
2016-09-20,18129.96,18175.36,18227.21,18128.8,72.46,0.05
2016-09-21,18293.7,18164.96,18307.43,18121.57,94.1,0.9
2016-09-22,18392.46,18343.76,18449.88,18343.76,73.03,0.54
